processId,threadId,parentProcessId,userId,mountNamespace,argsNum,returnValue,sus_label
1102,15442,1144,3,2,0,0,0
1435,11895,1524,4,3,1,0,1
1860,12733,1211,2,2,4,0,0
1270,13863,1024,2,4,4,0,0
1106,17455,1579,1,2,7,0,0
1071,14014,1393,5,3,5,0,0
1700,11686,1066,4,2,7,0,1
1020,13009,1232,2,3,1,1,0
1614,17806,1108,3,3,2,0,1
1121,10154,1145,7,2,5,0,0
1466,11409,1110,7,2,9,0,0
1214,10784,1227,4,1,2,0,0
1330,18096,1110,5,4,5,0,0
1458,17560,1469,5,3,5,0,0
1087,17343,1033,6,1,1,0,0
1372,17206,1622,9,2,6,0,0
1099,15596,1775,2,4,1,0,0
1871,15801,1935,5,1,5,0,1
1663,12806,1368,3,3,0,0,0
1130,10537,1747,4,1,2,0,0
1661,15986,1594,6,3,1,0,0
1308,11841,1553,8,2,6,0,1
1769,18716,1424,1,4,3,0,0
1343,16971,1612,8,4,7,0,1
1491,15625,1517,7,4,5,0,0
1413,12950,1691,1,2,9,0,0
1805,17992,1281,2,3,3,0,0
1385,14780,1319,3,2,4,0,1
1191,12368,1737,1,4,8,0,0
1955,16655,1442,9,2,6,0,0
1276,18173,1951,8,2,9,0,0
1160,14495,1314,2,2,8,1,0
1459,19163,1876,9,3,6,0,1
1313,16002,1965,7,1,0,0,0
1021,16614,1740,9,1,7,0,1
1252,19358,1376,6,2,3,0,0
1747,15919,1288,6,1,2,0,0
1856,10853,1436,4,1,6,0,0
1560,14146,1661,2,2,2,1,0
1474,13769,1276,7,2,7,0,0
1058,10574,1709,5,4,5,0,0
1510,11148,1581,6,1,4,0,0
1681,16293,1502,2,3,3,0,1
1475,16457,1623,5,2,7,0,1
1699,17509,1515,4,4,7,0,1
1975,19907,1349,9,3,0,0,1
1782,14777,1842,6,1,8,1,0
1189,13854,1445,2,4,4,0,0
1957,12491,1829,1,2,3,0,0
1686,13124,1349,5,3,5,0,0
1957,15691,1606,9,2,5,0,0
1562,13051,1663,6,1,1,0,0
1875,10004,1822,7,3,7,0,0
1566,15222,1136,5,1,6,0,0
1243,15315,1758,6,1,0,0,0
1831,14869,1898,5,4,4,0,0
1504,10876,1242,9,2,5,0,0
1130,19183,1542,6,3,3,0,0
1484,17027,1039,8,1,1,0,0
1818,14142,1228,2,1,3,0,0
1646,16966,1547,9,3,0,0,1
1020,17079,1919,5,1,6,0,0
1840,17987,1222,7,4,1,0,0
1166,16799,1005,1,4,1,0,1
1273,14465,1321,5,4,8,0,0
1387,10635,1467,2,4,4,0,0
1600,11693,1731,6,1,1,0,0
1315,19874,1074,1,3,8,1,0
1013,14752,1003,3,3,8,0,0
1241,18311,1846,5,3,0,0,0
1776,10830,1645,4,3,2,0,1
1345,15177,1117,3,2,3,0,0
1564,19561,1880,5,3,6,0,0
1897,18932,1605,8,2,9,0,0
1339,18308,1503,4,2,3,0,0
1091,15949,1997,1,4,1,0,0
1366,12838,1946,7,2,6,0,0
1955,11150,1573,8,1,5,0,1
1454,17560,1440,3,2,2,0,0
1427,11931,1193,6,4,5,0,0
1508,19204,1846,2,2,5,0,0
1775,11664,1714,7,1,4,0,0
1942,11081,1391,8,1,3,0,0
1034,10512,1025,6,1,9,0,0
1205,17805,1434,6,4,0,0,0
1080,15237,1172,5,4,9,0,0
1931,10559,1299,8,3,5,0,1
1561,13672,1644,1,4,1,0,0
1871,17404,1325,4,1,2,0,1
1387,13343,1409,4,1,7,0,0
1001,14070,1117,3,4,9,0,0
1389,19662,1835,3,2,5,0,0
1565,10580,1786,4,4,2,0,0
1105,17004,1723,1,4,6,0,0
1771,18130,1224,2,1,3,0,0
1821,13147,1531,9,3,8,0,0
1476,14249,1112,2,1,4,0,0
1702,11679,1139,5,3,2,0,0
1401,13506,1558,9,1,1,0,1
1729,17253,1000,9,4,1,0,0
1555,12744,1089,8,1,2,0,0
1161,19435,1653,1,1,1,0,0
1201,15188,1319,1,1,3,0,1
1957,12141,1549,9,4,1,0,1
1995,16617,1804,8,4,9,0,0
1269,12479,1893,9,4,8,0,0
1862,16484,1138,7,4,1,0,0
1815,19827,1510,3,3,8,0,0
1270,17421,1867,3,3,5,0,0
1455,19949,1844,2,2,0,0,0
1461,14452,1258,5,4,3,0,0
1726,15881,1672,3,3,0,0,0
